0.481,18.1
0.482,15.4
0.494,16.4
0.628,13
0.533,16.4
0.600,18.3
0.626,13.6
0.536,14
0.358,15.8
0.406,16.4
0.527,12.2
0.473,11.5
0.424,12
0.469,12
0.487,16.4
0.502,20.7
0.411,17.2
0.543,13.7
0.589,12.6
0.597,18
0.540,14.9
0.388,13.6
0.454,12.7
0.441,11.9
0.534,15.7
0.497,17.8
0.522,17.5
0.442,14
0.634,12.8
0.597,14.1
0.459,20.2
0.432,15.9
0.493,19.6
0.411,15.1
0.465,17.1
0.447,17.7
0.513,17.1
0.445,14.4
0.339,18.9
0.478,14.9
0.495,11
0.450,17.7
0.605,20.1
0.465,14.4
0.545,16.5
0.622,18.3
0.499,14.8
0.520,15
0.599,16.4
0.583,13.8
0.598,15.4
0.576,17.7
0.605,20.7
0.641,16.6
0.631,17.7
0.530,14.8
0.572,12.4
0.591,14.5
0.612,11.9
0.607,17.4
0.562,18.5
0.518,17.7
0.469,11.6
0.571,18.1
0.530,18.5
0.492,16.8
0.569,21.2
0.585,17
0.606,13.7
0.403,15.4
0.481,17.1
0.606,13.1
0.614,9.8
0.565,11
0.583,16
0.567,14.1
0.536,12.5
0.597,16.8
0.566,19.6
0.543,18.5
0.527,18.2
0.553,18.6
0.605,22.3
0.564,19.4
0.538,19
0.570,26.6
0.434,17.1
0.465,22.5
0.470,21.4
0.402,16.3
0.421,22.3
0.479,18
0.484,17
0.509,19.9
0.518,19.3
0.512,21.2
0.546,24.2
0.436,21.5
0.472,16.8
0.386,17
0.553,17.2
0.496,21.3
0.501,17
0.482,24.5
0.440,17
0.517,20.5
0.475,17.7
0.384,22.3
0.482,23.4
0.471,13.3
0.529,18.2
0.444,17.9
0.541,19.7
0.529,17.4
0.475,25
0.483,19.7
0.400,22.5
0.386,22.5
0.534,20.8
0.436,16.6
0.534,17
0.562,16.8
0.431,21.3
0.388,11
0.496,15
0.466,16.2
0.551,17.1
0.560,14.6
0.465,21
0.487,16.2
0.470,20
0.601,19.8
0.524,18.1
0.515,17.4
0.529,15.2
0.536,16.1
0.557,19.1
0.564,17.1
0.672,14.7
0.349,22.2
